001 The Alternative Rock Wedding Cocktail Hour,,,,
Falling in Love at a Coffee Shop-Landon Pigg,Falling in Love at a Coffee Shop,Landon Pigg,https://www.youtube.com/watch?v=erywPdFfORE,
Such Great Heights-Iron & Wine,Such Great Heights,Iron & Wine,https://www.youtube.com/watch?v=ZIq_KLMvIY8,
"Far, Far Away-Wilco","Far, Far Away",Wilco,https://www.youtube.com/watch?v=OXq9Eul2Rz8,
We're Going to Be Friends-The White Stripes,We're Going to Be Friends,The White Stripes,https://www.youtube.com/watch?v=PKfD8d3XJok,
Fade Into You-Mazzy Star,Fade Into You,Mazzy Star,https://www.youtube.com/watch?v=ImKY6TZEyrI,
Do You Realize?-The Flaming Lips,Do You Realize?,The Flaming Lips,https://www.youtube.com/watch?v=lPXWt2ESxVY,
I Will Follow You Into the Dark-Death Cab for Cutie,I Will Follow You Into the Dark,Death Cab for Cutie,https://www.youtube.com/watch?v=3iV_1ESMHaI,
Thank You Too-My Morning Jacket,Thank You Too,My Morning Jacket,https://www.youtube.com/watch?v=3RFN51ogDXI,
First Day of My Life-Bright Eyes,First Day of My Life,Bright Eyes,https://www.youtube.com/watch?v=xUBYzpCNQ1I,
The Way I Am-Ingrid Michaelson,The Way I Am,Ingrid Michaelson,https://www.youtube.com/watch?v=Vh74KE3o4Bs,
Us-Regina Spektor,Us,Regina Spektor,https://www.youtube.com/watch?v=fczPlmz-Vug,
Funny Little Frog-Belle & Sebastian,Funny Little Frog,Belle & Sebastian,https://www.youtube.com/watch?v=2fT6pssrES8,
Lovesong-The Cure (311’s cover version also works well),Lovesong,The Cure (311’s cover version also works well),https://www.youtube.com/watch?v=egX9ZDaIrkU,
White Sky-Vampire Weekend,White Sky,Vampire Weekend,https://www.youtube.com/watch?v=nResskM1w7I,
Daylight-Matt & Kim,Daylight,Matt & Kim,https://www.youtube.com/watch?v=WgBeu3FVi60,
Send Me on My Way-Rusted Root,Send Me on My Way,Rusted Root,https://www.youtube.com/watch?v=IGMabBGydC0,
Young Blood-The Naked and the Famous,Young Blood,The Naked and the Famous,https://www.youtube.com/watch?v=0YuSg4mts9E,
Walking on a Dream-Empire of the Sun,Walking on a Dream,Empire of the Sun,https://www.youtube.com/watch?v=eimgRedLkkU,
,,,,
002 The Long Island Iced Tea Wedding Cocktail Hour,,,,
Summer Wind-Frank Sinatra,Summer Wind,Frank Sinatra,,
"You are My Lucky Star-Sammy Davis, Jr.",You are My Lucky Star,"Sammy Davis, Jr.",,
Don't Know Why-Norah Jones,Don't Know Why,Norah Jones,,
Make You Feel My Love-Adele,Make You Feel My Love,Adele,,
Moonlight Serenade-Glen Miller Orchestra,Moonlight Serenade,Glen Miller Orchestra,,
Moondance-Van Morrison,Moondance,Van Morrison,,
I Hope You Dance-Lee Ann Womack,I Hope You Dance,Lee Ann Womack,,
How Sweet It Is (To Be Loved by You)-James Taylor,How Sweet It Is (To Be Loved by You),James Taylor,,
Butterflies-Michael Jackson,Butterflies,Michael Jackson,,
He Loves Me (Lyzel in E Flat)-Jill Scott,He Loves Me (Lyzel in E Flat),Jill Scott,,
Maria Maria-Santana,Maria Maria,Santana,,
Lovely Day-Bill Withers,Lovely Day,Bill Withers,,
Here Comes the Sun-Nina Simone,Here Comes the Sun,Nina Simone,,
Isn't She Lovely-Stevie Wonder,Isn't She Lovely,Stevie Wonder,,
Empire State of Mind-Jay-Z f/ Alicia Keys ,Empire State of Mind,Jay-Z f/ Alicia Keys,,
,,,,
003 The Good Vibes Wedding Cocktail Hour,,,,
Brandy Alexander-Feist,Brandy Alexander,Feist,,
Rags to Riches-Tony Bennett,Rags to Riches,Tony Bennett,,
Come Away With Me-Norah Jones,Come Away With Me,Norah Jones,,
Building a Mystery-Sarah McLachlan,Building a Mystery,Sarah McLachlan,,
Amber-311,Amber,311,,
You are the Best Thing-Ray LaMontagne,You are the Best Thing,Ray LaMontagne,,
Love Take Me Down to the Streets-Charles Gansa,Love Take Me Down to the Streets,Charles Gansa,,
Sunday Morning (Acoustic)-Maroon Five,Sunday Morning (Acoustic),Maroon Five,,
Soul to Squeeze-The Red Hot Chili Peppers,Soul to Squeeze,The Red Hot Chili Peppers,,
Summer Highland Falls-Billy Joel,Summer Highland Falls,Billy Joel,,
Human Nature-Michael Jackson,Human Nature,Michael Jackson,,
Knocks Me Off My Feet-Stevie Wonder,Knocks Me Off My Feet,Stevie Wonder,,
Lover Lay Down-Dave Matthews Band,Lover Lay Down,Dave Matthews Band,,
Are You In-Incubus,Are You In,Incubus,,
Valerie-Amy Winehouse,Valerie,Amy Winehouse,,
Kiss of Life-Sade,Kiss of Life,Sade,,
Your Love is Mine-New Mastersounds & Corinne Bailey Rae,Your Love is Mine,New Mastersounds & Corinne Bailey Rae,,
Everyday I Write the Book-Elvis Costello,Everyday I Write the Book,Elvis Costello,,
Seven Days in Sunny June-Jamiroquai,Seven Days in Sunny June,Jamiroquai,,
Me and Julio Down by the Schoolyard-Paul Simon,Me and Julio Down by the Schoolyard,Paul Simon,,
"Quando, Quando, Quando-Michael Buble with Nelly Furtado","Quando, Quando, Quando",Michael Buble with Nelly Furtado,,
You Make Me Feel So Young-Frank Sinatra,You Make Me Feel So Young,Frank Sinatra,,
You're Nobody Til Somebody Loves You-Dean Martin,You're Nobody Til Somebody Loves You,Dean Martin,,
Beyond the Sea-Bobby Darin,Beyond the Sea,Bobby Darin,,
This Must Be the Place (Naïve Melody)-Talking Heads,This Must Be the Place (Naïve Melody),Talking Heads,,
Game of Love-Santana & Michelle Branch,Game of Love,Santana & Michelle Branch,,
Is this Love-Bob Marley,Is this Love,Bob Marley,,
The Great Gig in the Sky-Pink Floyd,The Great Gig in the Sky,Pink Floyd,,
,,,,
004 The Head to Shoulder Dip Wedding Cocktail Hour,,,,
Here-Rascal Flatts,Here,Rascal Flatts,,
Throwing It All Away-Phil Collins,Throwing It All Away,Phil Collins,,
Breezin'-George Benson,Breezin',George Benson,,
We're In This Love Together-Al Jarreau,We're In This Love Together,Al Jarreau,,
Stitched Up-Herbie Hancock,Stitched Up,Herbie Hancock,,
Smooth Operator-Sade,Smooth Operator,Sade,,
Put Your Records On-Corinne Bailey Rae,Put Your Records On,Corinne Bailey Rae,,
Could You Be Loved- Bob Marley,Could You Be Loved,Bob Marley,,
Come Fly With Me-John Stevens,Come Fly With Me,John Stevens,,
"(I Could Only) Whisper Your Name-Harry Connick, Jr.",(I Could Only) Whisper Your Name,"Harry Connick, Jr.",,
Virtual Insanity-Jamiroquai,Virtual Insanity,Jamiroquai,,
Do I Do-Stevie Wonder,Do I Do,Stevie Wonder,,
No Such Thing-John Mayer,No Such Thing,John Mayer,,
Big Yellow Taxi-Counting Crows,Big Yellow Taxi,Counting Crows,,
Lowdown-Boz Scaggs,Lowdown,Boz Scaggs,,
Rise-Herb Alpert,Rise,Herb Alpert,,
,,,,
005 The Retro Soul Wedding Cocktail Hour,,,,
My Funny Valentine-Gerry Mulligan Quartet with Chet Baker,My Funny Valentine,Gerry Mulligan Quartet with Chet Baker,,
Speak Low-Diane Schuur,Speak Low,Diane Schuur,,
Body & Soul-Tony Bennett and Amy Winehouse,Body & Soul,Tony Bennett and Amy Winehouse,,
I Only Have Eyes for You (cover)-Jamie Cullum,I Only Have Eyes for You (cover),Jamie Cullum,,
What You Won't Do for Love-Bobby Caldwell,What You Won't Do for Love,Bobby Caldwell,,
For the Love of You (Parts 1 and 2)-Isley Brothers,For the Love of You (Parts 1 and 2),Isley Brothers,,
We Have All the Time in the World-Louis Armstrong,We Have All the Time in the World,Louis Armstrong,,
Peel Me a Grape-Ramsey Lewis with Nancy Wilson,Peel Me a Grape,Ramsey Lewis with Nancy Wilson,,
Afro Blue-Robert Glasper Experiment f/ Erykah Badu,Afro Blue,Robert Glasper Experiment f/ Erykah Badu,,
Cantaloop (Flip Fantasia)-Us3,Cantaloop (Flip Fantasia),Us3,,
P.D.A. (We Just Don't Care)-John Legend,P.D.A. (We Just Don't Care),John Legend,,
"Mister Magic-Grover Washington, Jr.",Mister Magic,"Grover Washington, Jr.",,
Smooth Sensation-Ken Navarro,Smooth Sensation,Ken Navarro,,
Golden (Original West Coast Mix)-Jill Scott,Golden (Original West Coast Mix),Jill Scott,,
Share My Love-R. Kelly,Share My Love,R. Kelly,,
Suit & Tie-Justin Timberlake featuring Jay-Z,Suit & Tie,Justin Timberlake featuring Jay-Z,,
Girl on Fire-Alicia Keys,Girl on Fire,Alicia Keys,,
Our Day Will Come-Amy Winehouse,Our Day Will Come,Amy Winehouse,,
Higher (Your Love Keeps Lifting Me)-Jackie Wilson,Higher (Your Love Keeps Lifting Me),Jackie Wilson,,
,,,,
006 The Smooth Sail Wedding Cocktail Hour,,,,
I'm Yours-Jason Mraz,I'm Yours,Jason Mraz,,
Count on Me-Bruno Mars,Count on Me,Bruno Mars,,
Sailing-Christopher Cross,Sailing,Christopher Cross,,
Your Body is a Wonderland-John Mayer,Your Body is a Wonderland,John Mayer,,
Margaritaville-Jimmy Buffett,Margaritaville,Jimmy Buffett,,
Moondance-Van Morrison,Moondance,Van Morrison,,
Haven't Met You Yet-Michael Buble,Haven't Met You Yet,Michael Buble,,
You Raise Me Up-Josh Groban,You Raise Me Up,Josh Groban,,
Summer Wind-Frank Sinatra,Summer Wind,Frank Sinatra,,
The Way You Look Tonight-Frank Sinatra,The Way You Look Tonight,Frank Sinatra,,
Ribbon in the Sky-Stevie Wonder,Ribbon in the Sky,Stevie Wonder,,
You are the Sunshine of My Life-Stevie Wonder,You are the Sunshine of My Life,Stevie Wonder,,
Through the Fire-Chaka Khan,Through the Fire,Chaka Khan,,
Let's Stay Together-Al Green,Let's Stay Together,Al Green,,
One in a Million You-Larry Graham,One in a Million You,Larry Graham,,
,,,,
007 The Back to the Eighties Wedding Cocktail Hour,,,,
Too Shy-Kajagoogoo,Too Shy,Kajagoogoo,,
The Tide is High-Blondie,The Tide is High,Blondie,,
Do You Really Want to Hurt Me-Culture Club,Do You Really Want to Hurt Me,Culture Club,,
If You Leave-Orchestral Manoeuvres in the Dark,If You Leave,Orchestral Manoeuvres in the Dark,,
Crazy for You-Madonna,Crazy for You,Madonna,,
The Promise-When in Rome,The Promise,When in Rome,,
Take My Breath Away-Berlin,Take My Breath Away,Berlin,,
Drive-The Cars,Drive,The Cars,,
True-Spandau Ballet,True,Spandau Ballet,,
Method of Modern Love-Hall & Oates,Method of Modern Love,Hall & Oates,,
Rosanna-Toto,Rosanna,Toto,,
Sara-Starship,Sara,Starship,,
Wrapped Around Your Finger-The Police,Wrapped Around Your Finger,The Police,,
Everybody Wants to Rule the World-Tears for Fears,Everybody Wants to Rule the World,Tears for Fears,,
Hold Me Now-Thompson Twins,Hold Me Now,Thompson Twins,,
Time After Time-Cyndi Lauper,Time After Time,Cyndi Lauper,,
Holding Back the Years-Simply Red,Holding Back the Years,Simply Red,,
Don't You (Forget About Me)-Simple Minds,Don't You (Forget About Me),Simple Minds,,
Dance Hall Days-Wang Chung,Dance Hall Days,Wang Chung,,
Need You Tonight-INXS,Need You Tonight,INXS,,
,,,,
008 The Beach Themed Wedding Cocktail Hour,,,,
Hey Baby-Bruce Channel,Hey Baby,Bruce Channel,,
Colors-April Smith and the Great Picture Show,Colors,April Smith and the Great Picture Show,,
Under the Boardwalk-The Drifters,Under the Boardwalk,The Drifters,,
Drops of Jupiter-Train,Drops of Jupiter,Train,,
Three Little Birds-Bob Marley,Three Little Birds,Bob Marley,,
Summer Wind-Frank Sinatra,Summer Wind,Frank Sinatra,,
Shine-Collective Soul,Shine,Collective Soul,,
Better Together-Jack Johnson,Better Together,Jack Johnson,,
Sail Away-David Gray,Sail Away,David Gray,,
Home-Philip Phillips,Home,Philip Phillips,,
Beyond the Sea-Robbie Williams,Beyond the Sea,Robbie Williams,,
Wouldn't It Be Nice-The Beach Boys,Wouldn't It Be Nice,The Beach Boys,,
Over the Rainbow-Israel Kamakawiwo'le,Over the Rainbow,Israel Kamakawiwo'le,,
This Old Heart of Mine (Is Weak for You)-The Isley Brothers,This Old Heart of Mine (Is Weak for You),The Isley Brothers,,
I'm Yours-Jason Mraz,I'm Yours,Jason Mraz,,
Sweet Pea-Amos Lee,Sweet Pea,Amos Lee,,
Down By the Seaside-Led Zeppelin,Down By the Seaside,Led Zeppelin,,
Amber-311,Amber,311,,
June Hymn-The Decemberists,June Hymn,The Decemberists,,
Is This Love-Bob Marley,Is This Love,Bob Marley,,
,,,,
009 The Classic Wedding Cocktail Hour,,,,
Fly Me to the Moon-Frank Sinatra,Fly Me to the Moon,Frank Sinatra,,
